"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"117","驯龙高手","2010/美国/喜剧动画奇幻冒险","8.7","333259人评价","和谐的生活离不开摸头与被摸头。"
"118","幸福终点站","2004/美国/喜剧剧情爱情","8.7","256802人评价","有时候幸福需要等一等。 "
"119","借东西的小人阿莉埃蒂","2010/日本/动画奇幻冒险","8.7","249165人评价","曾经的那段美好会沉淀为一辈子的记忆。"
"120","神偷奶爸","2010/美国法国/喜剧动画冒险","8.5","446700人评价","Mr. I Don't Care其实也有Care的时候。"
"121","岁月神偷","2010/香港中国大陆/剧情家庭","8.6","341716人评价","岁月流逝，来日可追。"
"122","萤火虫之墓","1988/日本/动画剧情战争","8.7","230828人评价","幸福是生生不息，却难以触及的远。 "
"123","七武士","1954/日本/动作冒险剧情","9.2","89470人评价","时代悲歌。"
"124","杀人回忆","2003/韩国/犯罪剧情悬疑惊悚","8.7","238795人评价","关于连环杀人悬案的集体回忆。"
"125","怪兽电力公司","2001/美国/儿童喜剧动画奇幻冒险","8.6","284336人评价","不要给它起名字，起了名字就有感情了。"
"126","谍影重重3","2007/美国德国/动作悬疑惊悚","8.7","206695人评价","像吃了苏打饼一样干脆的电影。"
"127","喜宴","1993/台湾美国/剧情喜剧爱情同性家庭","8.8","160623人评价","中国家庭的喜怒哀乐忍。"
"128","电锯惊魂","2004/美国/悬疑惊悚恐怖","8.7","225148人评价","真相就在眼前。"
"129","贫民窟的百万富翁","2008/英国美国/剧情爱情","8.5","435260人评价","上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁"
"130","东邪西毒","1994/香港台湾/剧情动作爱情武侠古装","8.6","289860人评价","电影诗。"
"131","真爱至上","2003/英国美国法国/喜剧剧情爱情","8.5","351373人评价","爱，是个动词。"
"132","记忆碎片","2000/美国/犯罪剧情悬疑惊悚","8.6","315962人评价","一个针管引发的血案。"
"133","黑天鹅","2010/美国/剧情惊悚","8.5","468712人评价","黑暗之美。"
"134","疯狂原始人","2013/美国/喜剧动画冒险","8.7","420532人评价","老少皆宜，这就是好莱坞动画的魅力。"
